Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Education,Less than High School,2018,gs1dntot,3.0504158083872293,4.229837943619563,2.797526270586609,3.3033053461878494,964,Total number of donations,Average total number of donations,CA,NA
Education,Graduated from High school,2018,gs1dntot,3.3108768657143006,2.2870880544148187,3.162463161088478,3.4592905703401233,2438,Total number of donations,Average total number of donations,CA,NA
Education,Post-secondary diploma,2018,gs1dntot,3.6584120365175865,1.675387271219998,3.5382808076040235,3.7785432654311495,3885,Total number of donations,Average total number of donations,CA,NA
Education,University Diploma,2018,gs1dntot,4.0177894280993325,1.4714230757909903,3.901918942953593,4.133659913245072,3767,Total number of donations,Average total number of donations,CA,NA
Marital status,Married,2018,gs1dntot,4.024363254449232,1.2838877578646644,3.923095233281558,4.125631275616905,6463,Total number of donations,Average total number of donations,CA,NA
Marital status,Living common-law,2018,gs1dntot,3.2136669614794564,2.9672560131255175,3.0267692525654217,3.400564670393491,1102,Total number of donations,Average total number of donations,CA,NA
Marital status,Widowed,2018,gs1dntot,4.0961622778858064,3.137736830251198,3.8442543936939955,4.348070162077618,1143,Total number of donations,Average total number of donations,CA,NA
Marital status,Separated,2018,gs1dntot,3.3547076510148774,5.249505476557548,3.009547092287146,3.699868209742609,375,Total number of donations,Average total number of donations,CA,NA
Marital status,Divorced,2018,gs1dntot,3.8098842791133913,3.2555622807622933,3.566783761382781,4.052984796844002,1031,Total number of donations,Average total number of donations,CA,NA
Marital status,"Single, never married",2018,gs1dntot,2.8751303843041205,2.736583940373059,2.7209197195445043,3.0293410490637367,2040,Total number of donations,Average total number of donations,CA,NA
Labour force status,Employed,2018,gs1dntot,3.5459447163986186,1.3054612815896403,3.4552161503231975,3.6366732824740398,6433,Total number of donations,Average total number of donations,CA,NA
Labour force status,Unemployed,2018,gs1dntot,3.0175351784211135,7.505034685474262,2.5736678936341977,3.4614024632080294,220,Total number of donations,Average total number of donations,CA,NA
Labour force status,Not in labour force,2018,gs1dntot,3.8558409434614607,1.6209433945886338,3.7333412362690797,3.9783406506538417,4423,Total number of donations,Average total number of donations,CA,NA
Labour force status,Unable to determine,2018,gs1dntot,3.926586920923049,3.37520018133569,3.666832563062453,4.186341278783645,1078,Total number of donations,Average total number of donations,CA,NA
Personal income category,"Less than $25,000",2018,gs1dntot,3.222124471096049,2.070518800842487,3.091366075653644,3.3528828665384536,3046,Total number of donations,Average total number of donations,CA,NA
Personal income category,"$25,000 to $49,999",2018,gs1dntot,3.644496186312932,1.8488916868285878,3.51242835058457,3.7765640220412937,3625,Total number of donations,Average total number of donations,CA,NA
Personal income category,"$50,000 to $74,999",2018,gs1dntot,3.8138426439301942,2.0453192900852337,3.6609551451174758,3.9667301427429127,2570,Total number of donations,Average total number of donations,CA,NA
Personal income category,"$75,000 to $99,999",2018,gs1dntot,4.143515845411148,2.618010005050459,3.9309035398722636,4.356128150950032,1478,Total number of donations,Average total number of donations,CA,NA
Personal income category,"$100,000 to $124,999",2018,gs1dntot,4.274646723912349,3.4923623172853033,3.982051243811103,4.567242204013596,643,Total number of donations,Average total number of donations,CA,NA
Personal income category,"$125,000 and more",2018,gs1dntot,4.63976528257966,2.9746064853820595,4.3692613256005295,4.91026923955879,792,Total number of donations,Average total number of donations,CA,NA
Frequency of religious attendance,At least once a week,2018,gs1dntot,4.367862019410427,2.578288877845315,4.147138518064755,4.588585520756099,2135,Total number of donations,Average total number of donations,CA,NA
Frequency of religious attendance,At least once a month,2018,gs1dntot,4.169140477702591,3.129004604704322,3.9134580848660363,4.4248228705391455,1040,Total number of donations,Average total number of donations,CA,NA
Frequency of religious attendance,At least 3 times a year,2018,gs1dntot,3.9335747112671693,3.037216117156085,3.6994155304586056,4.167733892075733,1069,Total number of donations,Average total number of donations,CA,NA
Frequency of religious attendance,Once or twice a year,2018,gs1dntot,3.690982737122861,2.545773967437316,3.5068165290603495,3.8751489451853725,1639,Total number of donations,Average total number of donations,CA,NA
Frequency of religious attendance,Not at all,2018,gs1dntot,3.2134596553435197,1.37765827943215,3.1266910834895056,3.300228227197534,5277,Total number of donations,Average total number of donations,CA,NA
Immigration status,Native-born,2018,gs1dntot,3.7294724608991663,1.0898326377776408,3.6498097088800434,3.809135212918289,9211,Total number of donations,Average total number of donations,CA,NA
Immigration status,Naturalized,2018,gs1dntot,3.406342215586811,2.308034468116778,3.2522507243281504,3.5604337068454717,1755,Total number of donations,Average total number of donations,CA,NA
Immigration status,Non-Canadian,2018,gs1dntot,2.929794129371381,7.935185938638399,2.47413266331314,3.385455595429622,201,Total number of donations,Average total number of donations,CA,NA
Immigration status,Unknown,2018,gs1dntot,3.9328135510016677,3.603892545735824,3.6550192818019664,4.210607820201369,987,Total number of donations,Average total number of donations,CA,NA
Age group,15 to 24 years,2018,gs1dntot,2.1399141121332352,11.965354409890821,1.6380686509661415,2.641759573300329,42,Total number of donations,Average total number of donations,AB,NA
Age group,25 to 34 years,2018,gs1dntot,3.422680836118638,11.973984825567396,2.6194262798497094,4.225935392387567,132,Total number of donations,Average total number of donations,AB,NA
Age group,35 to 44 years,2018,gs1dntot,3.632812141274033,5.497061225870749,3.241411434537695,4.024212848010371,183,Total number of donations,Average total number of donations,AB,NA
Age group,45 to 54 years,2018,gs1dntot,3.371200823860013,6.27202414563683,2.956781080905972,3.785620566814054,173,Total number of donations,Average total number of donations,AB,NA
Age group,55 to 64 years,2018,gs1dntot,3.9988567965488433,5.180444637200838,3.592833475026087,4.4048801180716,252,Total number of donations,Average total number of donations,AB,NA
Age group,65 to 74 years,2018,gs1dntot,4.456792273130945,6.480999955355883,3.8906670537512915,5.022917492510597,139,Total number of donations,Average total number of donations,AB,NA
Age group,75 years and over,2018,gs1dntot,3.475051343765202,8.26056788568916,2.9124260907102455,4.037676596820159,92,Total number of donations,Average total number of donations,AB,NA
Age group,15 to 24 years,2018,gs1dntot,2.4051086368760326,9.0801987241493,1.9770747604738412,2.833142513278224,107,Total number of donations,Average total number of donations,AT,NA
Age group,25 to 34 years,2018,gs1dntot,3.3452186718653834,4.958237027047393,3.02013145871368,3.6703058850170867,261,Total number of donations,Average total number of donations,AT,NA
